"variable","description"
"15_19_Years","Total Fertility Rate"
"20_24_Years","Age-specific fertility rate for ages 15-19"
"25_29_Years","Age-specific fertility rate for ages 20-24"
"30_34_Years","Age-specific fertility rate for ages 25-29"
"35_39_Years","Age-specific fertility rate for ages 30-34"
"40_44_Years","Age-specific fertility rate for ages 35-39"
"45_49_Years","Age-specific fertility rate for ages 40-44"
"Chinese","Age-specific fertility rate for ages 45-49"
"Citizen_Live_Births","Fertility rate for Chinese population"
"Crude_Birth_Rate","Fertility rate for Malay population"
"Gross_Reproduction_Rate","Fertility rate for Indian population"
"Indians","Gross Reproduction Rate"
"Malays","Net Reproduction Rate"
"Net_Reproduction_Rate","Crude Birth Rate"
"Resident_Live_Births","Total number of live-births"
"Total_Fertility_Rate_TFR","Resident number of live-births"
"Total_Live_Births","Citizen number of live-births"
