"variable","year","value"
"15_19_Years",1960,69.6
"20_24_Years",1960,250.5
"25_29_Years",1960,323.9
"30_34_Years",1960,259.7
"35_39_Years",1960,176.7
"40_44_Years",1960,70.7
"45_49_Years",1960,NA
"Chinese",1960,5.62
"Citizen_Live_Births",1960,NA
"Crude_Birth_Rate",1960,37.5
"Gross_Reproduction_Rate",1960,2.78
"Indians",1960,7.37
"Malays",1960,6.42
"Net_Reproduction_Rate",1960,2.54
"Resident_Live_Births",1960,NA
"Total_Fertility_Rate_TFR",1960,5.76
"Total_Live_Births",1960,61775
"15_19_Years",1961,63.4
"20_24_Years",1961,241.1
"25_29_Years",1961,304.9
"30_34_Years",1961,238.4
"35_39_Years",1961,168.9
"40_44_Years",1961,64.8
"45_49_Years",1961,NA
"Chinese",1961,5.2
"Citizen_Live_Births",1961,NA
"Crude_Birth_Rate",1961,35.2
"Gross_Reproduction_Rate",1961,2.63
"Indians",1961,6.96
"Malays",1961,6.42
"Net_Reproduction_Rate",1961,2.41
"Resident_Live_Births",1961,NA
"Total_Fertility_Rate_TFR",1961,5.41
"Total_Live_Births",1961,59930
"15_19_Years",1962,52
"20_24_Years",1962,245.5
"25_29_Years",1962,291.7
"30_34_Years",1962,231.5
"35_39_Years",1962,156.2
"40_44_Years",1962,65.1
"45_49_Years",1962,NA
"Chinese",1962,4.92
"Citizen_Live_Births",1962,NA
"Crude_Birth_Rate",1962,33.7
"Gross_Reproduction_Rate",1962,2.53
"Indians",1962,6.96
"Malays",1962,6.63
"Net_Reproduction_Rate",1962,2.31
"Resident_Live_Births",1962,NA
"Total_Fertility_Rate_TFR",1962,5.21
"Total_Live_Births",1962,58977
"15_19_Years",1963,45.7
"20_24_Years",1963,249
"25_29_Years",1963,287.2
"30_34_Years",1963,228.7
"35_39_Years",1963,156.1
"40_44_Years",1963,64.9
"45_49_Years",1963,NA
"Chinese",1963,4.83
"Citizen_Live_Births",1963,NA
"Crude_Birth_Rate",1963,33.2
"Gross_Reproduction_Rate",1963,2.51
"Indians",1963,6.9
"Malays",1963,6.75
"Net_Reproduction_Rate",1963,2.3
"Resident_Live_Births",1963,NA
"Total_Fertility_Rate_TFR",1963,5.16
"Total_Live_Births",1963,59530
"15_19_Years",1964,38.3
"20_24_Years",1964,240
"25_29_Years",1964,277.6
"30_34_Years",1964,226.7
"35_39_Years",1964,147.7
"40_44_Years",1964,62.8
"45_49_Years",1964,NA
"Chinese",1964,4.6
"Citizen_Live_Births",1964,NA
"Crude_Birth_Rate",1964,31.6
"Gross_Reproduction_Rate",1964,2.42
"Indians",1964,7.06
"Malays",1964,6.78
"Net_Reproduction_Rate",1964,2.22
"Resident_Live_Births",1964,NA
"Total_Fertility_Rate_TFR",1964,4.97
"Total_Live_Births",1964,58217
"15_19_Years",1965,35.9
"20_24_Years",1965,227.1
"25_29_Years",1965,259.5
"30_34_Years",1965,216.2
"35_39_Years",1965,138.1
"40_44_Years",1965,54.9
"45_49_Years",1965,NA
"Chinese",1965,4.31
"Citizen_Live_Births",1965,NA
"Crude_Birth_Rate",1965,29.5
"Gross_Reproduction_Rate",1965,2.27
"Indians",1965,6.69
"Malays",1965,6.31
"Net_Reproduction_Rate",1965,2.08
"Resident_Live_Births",1965,NA
"Total_Fertility_Rate_TFR",1965,4.66
"Total_Live_Births",1965,55725
"15_19_Years",1966,33
"20_24_Years",1966,218.5
"25_29_Years",1966,261.2
"30_34_Years",1966,202
"35_39_Years",1966,124.8
"40_44_Years",1966,51.7
"45_49_Years",1966,NA
"Chinese",1966,4.08
"Citizen_Live_Births",1966,NA
"Crude_Birth_Rate",1966,28.3
"Gross_Reproduction_Rate",1966,2.17
"Indians",1966,6.61
"Malays",1966,6.14
"Net_Reproduction_Rate",1966,1.97
"Resident_Live_Births",1966,NA
"Total_Fertility_Rate_TFR",1966,4.46
"Total_Live_Births",1966,54680
"15_19_Years",1967,35.8
"20_24_Years",1967,195.8
"25_29_Years",1967,244.7
"30_34_Years",1967,166.7
"35_39_Years",1967,95.9
"40_44_Years",1967,42.9
"45_49_Years",1967,NA
"Chinese",1967,3.59
"Citizen_Live_Births",1967,NA
"Crude_Birth_Rate",1967,25.6
"Gross_Reproduction_Rate",1967,1.91
"Indians",1967,5.62
"Malays",1967,5.29
"Net_Reproduction_Rate",1967,1.75
"Resident_Live_Births",1967,NA
"Total_Fertility_Rate_TFR",1967,3.91
"Total_Live_Births",1967,50560
"15_19_Years",1968,30.9
"20_24_Years",1968,165.8
"25_29_Years",1968,236.6
"30_34_Years",1968,152
"35_39_Years",1968,85.2
"40_44_Years",1968,35.3
"45_49_Years",1968,NA
