"variable","year","value"
"15_19_Years",1960,69.6
"20_24_Years",1960,250.5
"25_29_Years",1960,323.9
"30_34_Years",1960,259.7
"35_39_Years",1960,176.7
"40_44_Years",1960,70.7
"45_49_Years",1960,NA
"15_19_Years",1961,63.4
"20_24_Years",1961,241.1
"25_29_Years",1961,304.9
"30_34_Years",1961,238.4
"35_39_Years",1961,168.9
"40_44_Years",1961,64.8
"45_49_Years",1961,NA
"15_19_Years",1962,52
"20_24_Years",1962,245.5
"25_29_Years",1962,291.7
"30_34_Years",1962,231.5
"35_39_Years",1962,156.2
"40_44_Years",1962,65.1
"45_49_Years",1962,NA
"15_19_Years",1963,45.7
"20_24_Years",1963,249
"25_29_Years",1963,287.2
"30_34_Years",1963,228.7
"35_39_Years",1963,156.1
"40_44_Years",1963,64.9
"45_49_Years",1963,NA
"15_19_Years",1964,38.3
"20_24_Years",1964,240
"25_29_Years",1964,277.6
"30_34_Years",1964,226.7
"35_39_Years",1964,147.7
"40_44_Years",1964,62.8
"45_49_Years",1964,NA
"15_19_Years",1965,35.9
"20_24_Years",1965,227.1
"25_29_Years",1965,259.5
"30_34_Years",1965,216.2
"35_39_Years",1965,138.1
"40_44_Years",1965,54.9
"45_49_Years",1965,NA
"15_19_Years",1966,33
"20_24_Years",1966,218.5
"25_29_Years",1966,261.2
"30_34_Years",1966,202
"35_39_Years",1966,124.8
"40_44_Years",1966,51.7
"45_49_Years",1966,NA
"15_19_Years",1967,35.8
"20_24_Years",1967,195.8
"25_29_Years",1967,244.7
"30_34_Years",1967,166.7
"35_39_Years",1967,95.9
"40_44_Years",1967,42.9
"45_49_Years",1967,NA
"15_19_Years",1968,30.9
"20_24_Years",1968,165.8
"25_29_Years",1968,236.6
"30_34_Years",1968,152
"35_39_Years",1968,85.2
"40_44_Years",1968,35.3
"45_49_Years",1968,NA
"15_19_Years",1969,27.1
"20_24_Years",1969,150.1
"25_29_Years",1969,227.8
"30_34_Years",1969,134.3
"35_39_Years",1969,75.2
"40_44_Years",1969,29.4
"45_49_Years",1969,NA
"15_19_Years",1970,25.9
"20_24_Years",1970,139
"25_29_Years",1970,208.8
"30_34_Years",1970,138
"35_39_Years",1970,74.5
"40_44_Years",1970,26.7
"45_49_Years",1970,NA
"15_19_Years",1971,25.6
"20_24_Years",1971,138.3
"25_29_Years",1971,212.6
"30_34_Years",1971,137.6
"35_39_Years",1971,68.5
"40_44_Years",1971,21.9
"45_49_Years",1971,NA
"15_19_Years",1972,25.3
"20_24_Years",1972,137.4
"25_29_Years",1972,218
"30_34_Years",1972,139.2
"35_39_Years",1972,66.1
"40_44_Years",1972,20.9
"45_49_Years",1972,NA
"15_19_Years",1973,24.2
"20_24_Years",1973,130.5
"25_29_Years",1973,199.5
"30_34_Years",1973,128.4
"35_39_Years",1973,57.6
"40_44_Years",1973,17.4
"45_49_Years",1973,NA
"15_19_Years",1974,20.8
"20_24_Years",1974,118.9
"25_29_Years",1974,172.2
"30_34_Years",1974,102.9
"35_39_Years",1974,42.6
"40_44_Years",1974,12.7
"45_49_Years",1974,NA
"15_19_Years",1975,16.8
"20_24_Years",1975,102.1
"25_29_Years",1975,154.5
"30_34_Years",1975,94.9
"35_39_Years",1975,36.3
"40_44_Years",1975,10
"45_49_Years",1975,NA
"15_19_Years",1976,16.2
"20_24_Years",1976,107.2
"25_29_Years",1976,160.2
"30_34_Years",1976,95.9
"35_39_Years",1976,33.8
"40_44_Years",1976,8.1
"45_49_Years",1976,NA
"15_19_Years",1977,13.4
"20_24_Years",1977,90.3
"25_29_Years",1977,138.9
"30_34_Years",1977,85.2
"35_39_Years",1977,28.7
"40_44_Years",1977,6.9
"45_49_Years",1977,NA
"15_19_Years",1978,11.8
"20_24_Years",1978,86.8
"25_29_Years",1978,140.9
"30_34_Years",1978,86.8
"35_39_Years",1978,26.7
"40_44_Years",1978,5.3
"45_49_Years",1978,NA
"15_19_Years",1979,11.4
"20_24_Years",1979,85.1
"25_29_Years",1979,139.3
"30_34_Years",1979,88.4
"35_39_Years",1979,27.5
"40_44_Years",1979,5.5
"45_49_Years",1979,NA
"15_19_Years",1980,12.7
"20_24_Years",1980,84.9
"25_29_Years",1980,144.5
"30_34_Years",1980,87.8
"35_39_Years",1980,28
"40_44_Years",1980,5.8
"45_49_Years",1980,0.5
"15_19_Years",1981,11.8
"20_24_Years",1981,84.2
"25_29_Years",1981,141.2
"30_34_Years",1981,84.2
"35_39_Years",1981,29.3
"40_44_Years",1981,5.5
"45_49_Years",1981,0.4
"15_19_Years",1982,11.4
"20_24_Years",1982,80.2
"25_29_Years",1982,136.4
"30_34_Years",1982,84.5
