"variable","year","value"
"Chinese",1960,5.62
"Indians",1960,7.37
"Malays",1960,6.42
"Chinese",1961,5.2
"Indians",1961,6.96
"Malays",1961,6.42
"Chinese",1962,4.92
"Indians",1962,6.96
"Malays",1962,6.63
"Chinese",1963,4.83
"Indians",1963,6.9
"Malays",1963,6.75
"Chinese",1964,4.6
"Indians",1964,7.06
"Malays",1964,6.78
"Chinese",1965,4.31
"Indians",1965,6.69
"Malays",1965,6.31
"Chinese",1966,4.08
"Indians",1966,6.61
"Malays",1966,6.14
"Chinese",1967,3.59
"Indians",1967,5.62
"Malays",1967,5.29
"Chinese",1968,3.29
"Indians",1968,4.77
"Malays",1968,4.52
"Chinese",1969,3.05
"Indians",1969,4.58
"Malays",1969,3.78
"Chinese",1970,3
"Indians",1970,3.15
"Malays",1970,3.45
"Chinese",1971,2.98
"Indians",1971,3.14
"Malays",1971,3.25
"Chinese",1972,3
"Indians",1972,3.08
"Malays",1972,3.26
"Chinese",1973,2.79
"Indians",1973,2.61
"Malays",1973,2.88
"Chinese",1974,2.33
"Indians",1974,2.3
"Malays",1974,2.46
"Chinese",1975,2.06
"Indians",1975,1.95
"Malays",1975,2.12
"Chinese",1976,2.15
"Indians",1976,1.84
"Malays",1976,1.93
"Chinese",1977,1.81
"Indians",1977,1.7
"Malays",1977,1.87
"Chinese",1978,1.78
"Indians",1978,1.79
"Malays",1978,1.83
"Chinese",1979,1.77
"Indians",1979,1.88
"Malays",1979,1.84
"Chinese",1980,1.73
"Indians",1980,2.03
"Malays",1980,2.2
"Chinese",1981,1.67
"Indians",1981,1.97
"Malays",1981,2.25
"Chinese",1982,1.62
"Indians",1982,1.93
"Malays",1982,2.27
"Chinese",1983,1.47
"Indians",1983,1.83
"Malays",1983,2.21
"Chinese",1984,1.46
"Indians",1984,1.84
"Malays",1984,2.27
"Chinese",1985,1.46
"Indians",1985,1.79
"Malays",1985,2.28
"Chinese",1986,1.25
"Indians",1986,1.73
"Malays",1986,2.22
"Chinese",1987,1.46
"Indians",1987,1.76
"Malays",1987,2.34
"Chinese",1988,1.84
"Indians",1988,1.89
"Malays",1988,2.51
"Chinese",1989,1.56
"Indians",1989,1.92
"Malays",1989,2.62
"Chinese",1990,1.65
"Indians",1990,1.89
"Malays",1990,2.69
"Chinese",1991,1.54
"Indians",1991,1.84
"Malays",1991,2.63
"Chinese",1992,1.53
"Indians",1992,1.9
"Malays",1992,2.61
"Chinese",1993,1.55
"Indians",1993,1.94
"Malays",1993,2.62
"Chinese",1994,1.54
"Indians",1994,1.81
"Malays",1994,2.54
"Chinese",1995,1.51
"Indians",1995,1.71
"Malays",1995,2.51
"Chinese",1996,1.5
"Indians",1996,1.74
"Malays",1996,2.52
"Chinese",1997,1.44
"Indians",1997,1.71
"Malays",1997,2.47
"Chinese",1998,1.27
"Indians",1998,1.68
"Malays",1998,2.48
"Chinese",1999,1.29
"Indians",1999,1.55
"Malays",1999,2.41
"Chinese",2000,1.43
"Indians",2000,1.59
"Malays",2000,2.54
"Chinese",2001,1.21
"Indians",2001,1.51
"Malays",2001,2.45
"Chinese",2002,1.19
"Indians",2002,1.51
"Malays",2002,2.3
"Chinese",2003,1.09
"Indians",2003,1.39
"Malays",2003,2.1
"Chinese",2004,1.09
"Indians",2004,1.34
"Malays",2004,2.07
"Chinese",2005,1.1
"Indians",2005,1.29
"Malays",2005,2.03
"Chinese",2006,1.11
"Indians",2006,1.27
"Malays",2006,2.02
"Chinese",2007,1.14
"Indians",2007,1.25
"Malays",2007,1.94
"Chinese",2008,1.14
"Indians",2008,1.19
"Malays",2008,1.91
"Chinese",2009,1.08
"Indians",2009,1.14
"Malays",2009,1.82
"Chinese",2010,1.02
"Indians",2010,1.13
"Malays",2010,1.65
"Chinese",2011,1.08
"Indians",2011,1.09
"Malays",2011,1.64
"Chinese",2012,1.18
"Indians",2012,1.15
"Malays",2012,1.69
"Chinese",2013,1.05
"Indians",2013,1.11
"Malays",2013,1.66
"Chinese",2014,1.13
"Indians",2014,1.13
"Malays",2014,1.73
"Chinese",2015,1.1
"Indians",2015,1.15
"Malays",2015,1.79
"Chinese",2016,1.07
"Indians",2016,1.04
"Malays",2016,1.8
"Chinese",2017,1.01
"Indians",2017,1
"Malays",2017,1.82
"Chinese",2018,0.98
"Indians",2018,1
"Malays",2018,1.85
"Chinese",2019,0.99
"Indians",2019,0.98
"Malays",2019,1.8
"Chinese",2020,0.94
"Indians",2020,0.96
"Malays",2020,1.82
"Chinese",2021,0.96
"Indians",2021,1.05
"Malays",2021,1.82
"Chinese",2022,0.87
"Indians",2022,1.01
"Malays",2022,1.83
"Chinese",2023,0.81
"Indians",2023,0.95
"Malays",2023,1.65
"Chinese",2024,0.83
"Indians",2024,0.91
"Malays",2024,1.58
"Chinese",2025,0.7
"Indians",2025,0.92
"Malays",2025,1.53
