"variable","year","value"
"Gross_Reproduction_Rate",1960,2.78
"Net_Reproduction_Rate",1960,2.54
"Gross_Reproduction_Rate",1961,2.63
"Net_Reproduction_Rate",1961,2.41
"Gross_Reproduction_Rate",1962,2.53
"Net_Reproduction_Rate",1962,2.31
"Gross_Reproduction_Rate",1963,2.51
"Net_Reproduction_Rate",1963,2.3
"Gross_Reproduction_Rate",1964,2.42
"Net_Reproduction_Rate",1964,2.22
"Gross_Reproduction_Rate",1965,2.27
"Net_Reproduction_Rate",1965,2.08
"Gross_Reproduction_Rate",1966,2.17
"Net_Reproduction_Rate",1966,1.97
"Gross_Reproduction_Rate",1967,1.91
"Net_Reproduction_Rate",1967,1.75
"Gross_Reproduction_Rate",1968,1.72
"Net_Reproduction_Rate",1968,1.58
"Gross_Reproduction_Rate",1969,1.56
"Net_Reproduction_Rate",1969,1.43
"Gross_Reproduction_Rate",1970,1.49
"Net_Reproduction_Rate",1970,1.42
"Gross_Reproduction_Rate",1971,1.46
"Net_Reproduction_Rate",1971,1.41
"Gross_Reproduction_Rate",1972,1.47
"Net_Reproduction_Rate",1972,1.42
"Gross_Reproduction_Rate",1973,1.35
"Net_Reproduction_Rate",1973,1.3
"Gross_Reproduction_Rate",1974,1.13
"Net_Reproduction_Rate",1974,1.09
"Gross_Reproduction_Rate",1975,1
"Net_Reproduction_Rate",1975,0.97
"Gross_Reproduction_Rate",1976,1.02
"Net_Reproduction_Rate",1976,0.98
"Gross_Reproduction_Rate",1977,0.88
"Net_Reproduction_Rate",1977,0.85
"Gross_Reproduction_Rate",1978,0.87
"Net_Reproduction_Rate",1978,0.84
"Gross_Reproduction_Rate",1979,0.85
"Net_Reproduction_Rate",1979,0.82
"Gross_Reproduction_Rate",1980,0.88
"Net_Reproduction_Rate",1980,0.86
"Gross_Reproduction_Rate",1981,0.86
"Net_Reproduction_Rate",1981,0.84
"Gross_Reproduction_Rate",1982,0.83
"Net_Reproduction_Rate",1982,0.82
"Gross_Reproduction_Rate",1983,0.77
"Net_Reproduction_Rate",1983,0.76
"Gross_Reproduction_Rate",1984,0.77
"Net_Reproduction_Rate",1984,0.76
"Gross_Reproduction_Rate",1985,0.78
"Net_Reproduction_Rate",1985,0.76
"Gross_Reproduction_Rate",1986,0.69
"Net_Reproduction_Rate",1986,0.68
"Gross_Reproduction_Rate",1987,0.78
"Net_Reproduction_Rate",1987,0.77
"Gross_Reproduction_Rate",1988,0.95
"Net_Reproduction_Rate",1988,0.93
"Gross_Reproduction_Rate",1989,0.85
"Net_Reproduction_Rate",1989,0.83
"Gross_Reproduction_Rate",1990,0.88
"Net_Reproduction_Rate",1990,0.87
"Gross_Reproduction_Rate",1991,0.84
"Net_Reproduction_Rate",1991,0.83
"Gross_Reproduction_Rate",1992,0.83
"Net_Reproduction_Rate",1992,0.82
"Gross_Reproduction_Rate",1993,0.84
"Net_Reproduction_Rate",1993,0.83
"Gross_Reproduction_Rate",1994,0.83
"Net_Reproduction_Rate",1994,0.82
"Gross_Reproduction_Rate",1995,0.8
"Net_Reproduction_Rate",1995,0.8
"Gross_Reproduction_Rate",1996,0.8
"Net_Reproduction_Rate",1996,0.79
"Gross_Reproduction_Rate",1997,0.77
"Net_Reproduction_Rate",1997,0.77
"Gross_Reproduction_Rate",1998,0.72
"Net_Reproduction_Rate",1998,0.71
"Gross_Reproduction_Rate",1999,0.7
"Net_Reproduction_Rate",1999,0.7
