"variable","year","value"
"Total_Fertility_Rate_TFR",1960,5.76
"Total_Fertility_Rate_TFR",1961,5.41
"Total_Fertility_Rate_TFR",1962,5.21
"Total_Fertility_Rate_TFR",1963,5.16
"Total_Fertility_Rate_TFR",1964,4.97
"Total_Fertility_Rate_TFR",1965,4.66
"Total_Fertility_Rate_TFR",1966,4.46
"Total_Fertility_Rate_TFR",1967,3.91
"Total_Fertility_Rate_TFR",1968,3.53
"Total_Fertility_Rate_TFR",1969,3.22
"Total_Fertility_Rate_TFR",1970,3.07
"Total_Fertility_Rate_TFR",1971,3.02
"Total_Fertility_Rate_TFR",1972,3.04
"Total_Fertility_Rate_TFR",1973,2.79
"Total_Fertility_Rate_TFR",1974,2.35
"Total_Fertility_Rate_TFR",1975,2.07
"Total_Fertility_Rate_TFR",1976,2.11
"Total_Fertility_Rate_TFR",1977,1.82
"Total_Fertility_Rate_TFR",1978,1.79
"Total_Fertility_Rate_TFR",1979,1.79
"Total_Fertility_Rate_TFR",1980,1.82
"Total_Fertility_Rate_TFR",1981,1.78
"Total_Fertility_Rate_TFR",1982,1.74
"Total_Fertility_Rate_TFR",1983,1.61
"Total_Fertility_Rate_TFR",1984,1.62
"Total_Fertility_Rate_TFR",1985,1.61
"Total_Fertility_Rate_TFR",1986,1.43
"Total_Fertility_Rate_TFR",1987,1.62
"Total_Fertility_Rate_TFR",1988,1.96
"Total_Fertility_Rate_TFR",1989,1.75
"Total_Fertility_Rate_TFR",1990,1.83
"Total_Fertility_Rate_TFR",1991,1.73
"Total_Fertility_Rate_TFR",1992,1.72
"Total_Fertility_Rate_TFR",1993,1.74
"Total_Fertility_Rate_TFR",1994,1.71
"Total_Fertility_Rate_TFR",1995,1.67
"Total_Fertility_Rate_TFR",1996,1.66
"Total_Fertility_Rate_TFR",1997,1.61
"Total_Fertility_Rate_TFR",1998,1.48
"Total_Fertility_Rate_TFR",1999,1.47
"Total_Fertility_Rate_TFR",2000,1.6
"Total_Fertility_Rate_TFR",2001,1.41
"Total_Fertility_Rate_TFR",2002,1.37
"Total_Fertility_Rate_TFR",2003,1.27
"Total_Fertility_Rate_TFR",2004,1.26
"Total_Fertility_Rate_TFR",2005,1.26
"Total_Fertility_Rate_TFR",2006,1.28
"Total_Fertility_Rate_TFR",2007,1.29
"Total_Fertility_Rate_TFR",2008,1.28
"Total_Fertility_Rate_TFR",2009,1.22
"Total_Fertility_Rate_TFR",2010,1.15
"Total_Fertility_Rate_TFR",2011,1.2
"Total_Fertility_Rate_TFR",2012,1.29
"Total_Fertility_Rate_TFR",2013,1.19
"Total_Fertility_Rate_TFR",2014,1.25
"Total_Fertility_Rate_TFR",2015,1.24
"Total_Fertility_Rate_TFR",2016,1.2
"Total_Fertility_Rate_TFR",2017,1.16
"Total_Fertility_Rate_TFR",2018,1.14
"Total_Fertility_Rate_TFR",2019,1.14
"Total_Fertility_Rate_TFR",2020,1.1
"Total_Fertility_Rate_TFR",2021,1.12
"Total_Fertility_Rate_TFR",2022,1.04
"Total_Fertility_Rate_TFR",2023,0.97
"Total_Fertility_Rate_TFR",2024,0.97
"Total_Fertility_Rate_TFR",2025,0.87
