"variable","year","value"
"Total_Live_Births",1960,61775
"Total_Live_Births",1961,59930
"Total_Live_Births",1962,58977
"Total_Live_Births",1963,59530
"Total_Live_Births",1964,58217
"Total_Live_Births",1965,55725
"Total_Live_Births",1966,54680
"Total_Live_Births",1967,50560
"Total_Live_Births",1968,47241
"Total_Live_Births",1969,44562
"Total_Live_Births",1970,45934
"Total_Live_Births",1971,47088
"Total_Live_Births",1972,49678
"Total_Live_Births",1973,48269
"Total_Live_Births",1974,43268
"Total_Live_Births",1975,39948
"Total_Live_Births",1976,42783
"Total_Live_Births",1977,38364
"Total_Live_Births",1978,39441
"Total_Live_Births",1979,40779
"Total_Live_Births",1980,41217
"Total_Live_Births",1981,42250
"Total_Live_Births",1982,42654
"Total_Live_Births",1983,40585
"Total_Live_Births",1984,41556
"Total_Live_Births",1985,42484
"Total_Live_Births",1986,38379
"Total_Live_Births",1987,43616
"Total_Live_Births",1988,52957
"Total_Live_Births",1989,47669
"Total_Live_Births",1990,51142
"Total_Live_Births",1991,49114
"Total_Live_Births",1992,49402
"Total_Live_Births",1993,50225
"Total_Live_Births",1994,49554
"Total_Live_Births",1995,48635
"Total_Live_Births",1996,48577
"Total_Live_Births",1997,47333
"Total_Live_Births",1998,43664
"Total_Live_Births",1999,43336
"Total_Live_Births",2000,46997
"Total_Live_Births",2001,41451
"Total_Live_Births",2002,40760
"Total_Live_Births",2003,37485
"Total_Live_Births",2004,37174
"Total_Live_Births",2005,37492
"Total_Live_Births",2006,38317
"Total_Live_Births",2007,39490
"Total_Live_Births",2008,39826
"Total_Live_Births",2009,39570
"Total_Live_Births",2010,37967
"Total_Live_Births",2011,39654
"Total_Live_Births",2012,42663
"Total_Live_Births",2013,39720
"Total_Live_Births",2014,42232
"Total_Live_Births",2015,42185
"Total_Live_Births",2016,41251
"Total_Live_Births",2017,39615
"Total_Live_Births",2018,39039
"Total_Live_Births",2019,39279
"Total_Live_Births",2020,38590
"Total_Live_Births",2021,38672
"Total_Live_Births",2022,35605
"Total_Live_Births",2023,33541
"Total_Live_Births",2024,33703
"Total_Live_Births",2025,29864
