Year,DataSeries,Value
1960,15 - 19 Years,69.6
1960,20 - 24 Years,250.5
1960,25 - 29 Years,323.9
1960,30 - 34 Years,259.7
1960,35 - 39 Years,176.7
1960,40 - 44 Years,70.7
1960,45 - 49 Years,
1960,Chinese,5.62
1960,Citizen Live-Births,
1960,Crude Birth Rate,37.5
1960,Gross Reproduction Rate,2.78
1960,Indians,7.37
1960,Malays,6.42
1960,Net Reproduction Rate,2.54
1960,Resident Live-Births,
1960,Total Fertility Rate (TFR),5.76
1960,Total Live-Births,61775
1961,15 - 19 Years,63.4
1961,20 - 24 Years,241.1
1961,25 - 29 Years,304.9
1961,30 - 34 Years,238.4
1961,35 - 39 Years,168.9
1961,40 - 44 Years,64.8
1961,45 - 49 Years,
1961,Chinese,5.2
1961,Citizen Live-Births,
1961,Crude Birth Rate,35.2
1961,Gross Reproduction Rate,2.63
1961,Indians,6.96
1961,Malays,6.42
1961,Net Reproduction Rate,2.41
1961,Resident Live-Births,
1961,Total Fertility Rate (TFR),5.41
1961,Total Live-Births,59930
1962,15 - 19 Years,52
1962,20 - 24 Years,245.5
1962,25 - 29 Years,291.7
1962,30 - 34 Years,231.5
1962,35 - 39 Years,156.2
1962,40 - 44 Years,65.1
1962,45 - 49 Years,
1962,Chinese,4.92
1962,Citizen Live-Births,
1962,Crude Birth Rate,33.7
1962,Gross Reproduction Rate,2.53
1962,Indians,6.96
1962,Malays,6.63
1962,Net Reproduction Rate,2.31
1962,Resident Live-Births,
1962,Total Fertility Rate (TFR),5.21
1962,Total Live-Births,58977
1963,15 - 19 Years,45.7
1963,20 - 24 Years,249
1963,25 - 29 Years,287.2
1963,30 - 34 Years,228.7
1963,35 - 39 Years,156.1
1963,40 - 44 Years,64.9
1963,45 - 49 Years,
1963,Chinese,4.83
1963,Citizen Live-Births,
1963,Crude Birth Rate,33.2
1963,Gross Reproduction Rate,2.51
1963,Indians,6.9
1963,Malays,6.75
1963,Net Reproduction Rate,2.3
1963,Resident Live-Births,
1963,Total Fertility Rate (TFR),5.16
1963,Total Live-Births,59530
1964,15 - 19 Years,38.3
1964,20 - 24 Years,240
1964,25 - 29 Years,277.6
1964,30 - 34 Years,226.7
1964,35 - 39 Years,147.7
1964,40 - 44 Years,62.8
1964,45 - 49 Years,
1964,Chinese,4.6
1964,Citizen Live-Births,
1964,Crude Birth Rate,31.6
1964,Gross Reproduction Rate,2.42
1964,Indians,7.06
1964,Malays,6.78
1964,Net Reproduction Rate,2.22
1964,Resident Live-Births,
1964,Total Fertility Rate (TFR),4.97
1964,Total Live-Births,58217
1965,15 - 19 Years,35.9
1965,20 - 24 Years,227.1
1965,25 - 29 Years,259.5
1965,30 - 34 Years,216.2
1965,35 - 39 Years,138.1
1965,40 - 44 Years,54.9
1965,45 - 49 Years,
1965,Chinese,4.31
1965,Citizen Live-Births,
1965,Crude Birth Rate,29.5
1965,Gross Reproduction Rate,2.27
1965,Indians,6.69
1965,Malays,6.31
1965,Net Reproduction Rate,2.08
1965,Resident Live-Births,
1965,Total Fertility Rate (TFR),4.66
1965,Total Live-Births,55725
1966,15 - 19 Years,33
1966,20 - 24 Years,218.5
1966,25 - 29 Years,261.2
1966,30 - 34 Years,202
1966,35 - 39 Years,124.8
1966,40 - 44 Years,51.7
1966,45 - 49 Years,
1966,Chinese,4.08
1966,Citizen Live-Births,
1966,Crude Birth Rate,28.3
1966,Gross Reproduction Rate,2.17
1966,Indians,6.61
1966,Malays,6.14
1966,Net Reproduction Rate,1.97
1966,Resident Live-Births,
1966,Total Fertility Rate (TFR),4.46
1966,Total Live-Births,54680
1967,15 - 19 Years,35.8
1967,20 - 24 Years,195.8
1967,25 - 29 Years,244.7
1967,30 - 34 Years,166.7
1967,35 - 39 Years,95.9
1967,40 - 44 Years,42.9
1967,45 - 49 Years,
1967,Chinese,3.59
1967,Citizen Live-Births,
1967,Crude Birth Rate,25.6
1967,Gross Reproduction Rate,1.91
1967,Indians,5.62
1967,Malays,5.29
1967,Net Reproduction Rate,1.75
1967,Resident Live-Births,
1967,Total Fertility Rate (TFR),3.91
1967,Total Live-Births,50560
1968,15 - 19 Years,30.9
1968,20 - 24 Years,165.8
1968,25 - 29 Years,236.6
1968,30 - 34 Years,152
1968,35 - 39 Years,85.2
1968,40 - 44 Years,35.3
1968,45 - 49 Years,
1968,Chinese,3.29
1968,Citizen Live-Births,
1968,Crude Birth Rate,23.5
1968,Gross Reproduction Rate,1.72
1968,Indians,4.77
1968,Malays,4.52
1968,Net Reproduction Rate,1.58
1968,Resident Live-Births,
1968,Total Fertility Rate (TFR),3.53
1968,Total Live-Births,47241
1969,15 - 19 Years,27.1
1969,20 - 24 Years,150.1
1969,25 - 29 Years,227.8
1969,30 - 34 Years,134.3
1969,35 - 39 Years,75.2
1969,40 - 44 Years,29.4
1969,45 - 49 Years,
1969,Chinese,3.05
1969,Citizen Live-Births,
1969,Crude Birth Rate,21.8
1969,Gross Reproduction Rate,1.56
1969,Indians,4.58
1969,Malays,3.78
1969,Net Reproduction Rate,1.43
1969,Resident Live-Births,
1969,Total Fertility Rate (TFR),3.22
1969,Total Live-Births,44562
1970,15 - 19 Years,25.9
1970,20 - 24 Years,139
1970,25 - 29 Years,208.8
1970,30 - 34 Years,138
1970,35 - 39 Years,74.5
1970,40 - 44 Years,26.7
1970,45 - 49 Years,
1970,Chinese,3
1970,Citizen Live-Births,
1970,Crude Birth Rate,22.1
1970,Gross Reproduction Rate,1.49
1970,Indians,3.15
1970,Malays,3.45
1970,Net Reproduction Rate,1.42
1970,Resident Live-Births,
1970,Total Fertility Rate (TFR),3.07
1970,Total Live-Births,45934
1971,15 - 19 Years,25.6
1971,20 - 24 Years,138.3
1971,25 - 29 Years,212.6
1971,30 - 34 Years,137.6
1971,35 - 39 Years,68.5
1971,40 - 44 Years,21.9
1971,45 - 49 Years,
1971,Chinese,2.98
1971,Citizen Live-Births,
1971,Crude Birth Rate,22.3
1971,Gross Reproduction Rate,1.46
1971,Indians,3.14
1971,Malays,3.25
1971,Net Reproduction Rate,1.41
1971,Resident Live-Births,
1971,Total Fertility Rate (TFR),3.02
1971,Total Live-Births,47088
1972,15 - 19 Years,25.3
1972,20 - 24 Years,137.4
1972,25 - 29 Years,218
1972,30 - 34 Years,139.2
1972,35 - 39 Years,66.1
1972,40 - 44 Years,20.9
1972,45 - 49 Years,
1972,Chinese,3
1972,Citizen Live-Births,
1972,Crude Birth Rate,23.1
1972,Gross Reproduction Rate,1.47
1972,Indians,3.08
1972,Malays,3.26
1972,Net Reproduction Rate,1.42
1972,Resident Live-Births,
1972,Total Fertility Rate (TFR),3.04
1972,Total Live-Births,49678
1973,15 - 19 Years,24.2
1973,20 - 24 Years,130.5
1973,25 - 29 Years,199.5
1973,30 - 34 Years,128.4
1973,35 - 39 Years,57.6
1973,40 - 44 Years,17.4
1973,45 - 49 Years,
1973,Chinese,2.79
1973,Citizen Live-Births,
1973,Crude Birth Rate,22
1973,Gross Reproduction Rate,1.35
1973,Indians,2.61
1973,Malays,2.88
1973,Net Reproduction Rate,1.3
1973,Resident Live-Births,
1973,Total Fertility Rate (TFR),2.79
1973,Total Live-Births,48269
1974,15 - 19 Years,20.8
1974,20 - 24 Years,118.9
1974,25 - 29 Years,172.2
1974,30 - 34 Years,102.9
1974,35 - 39 Years,42.6
1974,40 - 44 Years,12.7
1974,45 - 49 Years,
1974,Chinese,2.33
1974,Citizen Live-Births,
1974,Crude Birth Rate,19.4
1974,Gross Reproduction Rate,1.13
1974,Indians,2.3
1974,Malays,2.46
1974,Net Reproduction Rate,1.09
1974,Resident Live-Births,
1974,Total Fertility Rate (TFR),2.35
1974,Total Live-Births,43268
1975,15 - 19 Years,16.8
1975,20 - 24 Years,102.1
1975,25 - 29 Years,154.5
1975,30 - 34 Years,94.9
1975,35 - 39 Years,36.3
1975,40 - 44 Years,10
1975,45 - 49 Years,
1975,Chinese,2.06
1975,Citizen Live-Births,
1975,Crude Birth Rate,17.7
1975,Gross Reproduction Rate,1
1975,Indians,1.95
1975,Malays,2.12
1975,Net Reproduction Rate,0.97
1975,Resident Live-Births,
1975,Total Fertility Rate (TFR),2.07
1975,Total Live-Births,39948
1976,15 - 19 Years,16.2
1976,20 - 24 Years,107.2
1976,25 - 29 Years,160.2
1976,30 - 34 Years,95.9
1976,35 - 39 Years,33.8
1976,40 - 44 Years,8.1
1976,45 - 49 Years,
1976,Chinese,2.15
1976,Citizen Live-Births,
1976,Crude Birth Rate,18.7
1976,Gross Reproduction Rate,1.02
1976,Indians,1.84
1976,Malays,1.93
1976,Net Reproduction Rate,0.98
1976,Resident Live-Births,
1976,Total Fertility Rate (TFR),2.11
1976,Total Live-Births,42783
1977,15 - 19 Years,13.4
1977,20 - 24 Years,90.3
1977,25 - 29 Years,138.9
1977,30 - 34 Years,85.2
1977,35 - 39 Years,28.7
1977,40 - 44 Years,6.9
1977,45 - 49 Years,
1977,Chinese,1.81
1977,Citizen Live-Births,
1977,Crude Birth Rate,16.5
1977,Gross Reproduction Rate,0.88
1977,Indians,1.7
1977,Malays,1.87
1977,Net Reproduction Rate,0.85
1977,Resident Live-Births,
1977,Total Fertility Rate (TFR),1.82
1977,Total Live-Births,38364
1978,15 - 19 Years,11.8
1978,20 - 24 Years,86.8
1978,25 - 29 Years,140.9
1978,30 - 34 Years,86.8
1978,35 - 39 Years,26.7
1978,40 - 44 Years,5.3
1978,45 - 49 Years,
1978,Chinese,1.78
1978,Citizen Live-Births,
1978,Crude Birth Rate,16.8
1978,Gross Reproduction Rate,0.87
1978,Indians,1.79
1978,Malays,1.83
1978,Net Reproduction Rate,0.84
1978,Resident Live-Births,
1978,Total Fertility Rate (TFR),1.79
1978,Total Live-Births,39441
1979,15 - 19 Years,11.4
1979,20 - 24 Years,85.1
1979,25 - 29 Years,139.3
1979,30 - 34 Years,88.4
1979,35 - 39 Years,27.5
1979,40 - 44 Years,5.5
1979,45 - 49 Years,
1979,Chinese,1.77
1979,Citizen Live-Births,
1979,Crude Birth Rate,17.1
1979,Gross Reproduction Rate,0.85
1979,Indians,1.88
1979,Malays,1.84
1979,Net Reproduction Rate,0.82
1979,Resident Live-Births,
1979,Total Fertility Rate (TFR),1.79
1979,Total Live-Births,40779
1980,15 - 19 Years,12.7
1980,20 - 24 Years,84.9
1980,25 - 29 Years,144.5
1980,30 - 34 Years,87.8
1980,35 - 39 Years,28
1980,40 - 44 Years,5.8
1980,45 - 49 Years,0.5
1980,Chinese,1.73
1980,Citizen Live-Births,39600
1980,Crude Birth Rate,17.6
1980,Gross Reproduction Rate,0.88
1980,Indians,2.03
1980,Malays,2.2
1980,Net Reproduction Rate,0.86
1980,Resident Live-Births,40100
1980,Total Fertility Rate (TFR),1.82
1980,Total Live-Births,41217
1981,15 - 19 Years,11.8
1981,20 - 24 Years,84.2
1981,25 - 29 Years,141.2
1981,30 - 34 Years,84.2
1981,35 - 39 Years,29.3
1981,40 - 44 Years,5.5
1981,45 - 49 Years,0.4
1981,Chinese,1.67
1981,Citizen Live-Births,40498
1981,Crude Birth Rate,17.6
1981,Gross Reproduction Rate,0.86
1981,Indians,1.97
1981,Malays,2.25
1981,Net Reproduction Rate,0.84
1981,Resident Live-Births,41000
1981,Total Fertility Rate (TFR),1.78
1981,Total Live-Births,42250
1982,15 - 19 Years,11.4
1982,20 - 24 Years,80.2
1982,25 - 29 Years,136.4
1982,30 - 34 Years,84.5
1982,35 - 39 Years,31
1982,40 - 44 Years,4.9
1982,45 - 49 Years,0.3
1982,Chinese,1.62
1982,Citizen Live-Births,40794
1982,Crude Birth Rate,17.5
1982,Gross Reproduction Rate,0.83
1982,Indians,1.93
1982,Malays,2.27
1982,Net Reproduction Rate,0.82
1982,Resident Live-Births,41300
1982,Total Fertility Rate (TFR),1.74
1982,Total Live-Births,42654
1983,15 - 19 Years,10.4
1983,20 - 24 Years,72.4
1983,25 - 29 Years,125.5
1983,30 - 34 Years,79.9
1983,35 - 39 Years,29.5
1983,40 - 44 Years,3.9
1983,45 - 49 Years,0.2
1983,Chinese,1.47
1983,Citizen Live-Births,38768
1983,Crude Birth Rate,16.3
1983,Gross Reproduction Rate,0.77
1983,Indians,1.83
1983,Malays,2.21
1983,Net Reproduction Rate,0.76
1983,Resident Live-Births,39300
1983,Total Fertility Rate (TFR),1.61
1983,Total Live-Births,40585
1984,15 - 19 Years,10.3
1984,20 - 24 Years,68.6
1984,25 - 29 Years,124.2
1984,30 - 34 Years,83
1984,35 - 39 Years,32.1
1984,40 - 44 Years,4.9
1984,45 - 49 Years,0.2
1984,Chinese,1.46
1984,Citizen Live-Births,39689
1984,Crude Birth Rate,16.5
1984,Gross Reproduction Rate,0.77
1984,Indians,1.84
1984,Malays,2.27
1984,Net Reproduction Rate,0.76
1984,Resident Live-Births,40200
1984,Total Fertility Rate (TFR),1.62
1984,Total Live-Births,41556
1985,15 - 19 Years,9.6
1985,20 - 24 Years,68
1985,25 - 29 Years,123.9
1985,30 - 34 Years,85.6
1985,35 - 39 Years,31.1
1985,40 - 44 Years,4.5
1985,45 - 49 Years,0.2
1985,Chinese,1.46
1985,Citizen Live-Births,40567
1985,Crude Birth Rate,16.6
1985,Gross Reproduction Rate,0.78
1985,Indians,1.79
1985,Malays,2.28
1985,Net Reproduction Rate,0.76
1985,Resident Live-Births,41100
1985,Total Fertility Rate (TFR),1.61
1985,Total Live-Births,42484
1986,15 - 19 Years,8.6
1986,20 - 24 Years,60.4
1986,25 - 29 Years,110.1
1986,30 - 34 Years,74.4
1986,35 - 39 Years,28.4
1986,40 - 44 Years,4.7
1986,45 - 49 Years,0.2
1986,Chinese,1.25
1986,Citizen Live-Births,36630
1986,Crude Birth Rate,14.8
1986,Gross Reproduction Rate,0.69
1986,Indians,1.73
1986,Malays,2.22
1986,Net Reproduction Rate,0.68
1986,Resident Live-Births,37159
1986,Total Fertility Rate (TFR),1.43
1986,Total Live-Births,38379
1987,15 - 19 Years,7.7
1987,20 - 24 Years,59.7
1987,25 - 29 Years,124.8
1987,30 - 34 Years,92.5
1987,35 - 39 Years,33.5
1987,40 - 44 Years,5.9
1987,45 - 49 Years,0.2
1987,Chinese,1.46
1987,Citizen Live-Births,41738
1987,Crude Birth Rate,16.6
1987,Gross Reproduction Rate,0.78
1987,Indians,1.76
1987,Malays,2.34
1987,Net Reproduction Rate,0.77
1987,Resident Live-Births,42362
1987,Total Fertility Rate (TFR),1.62
1987,Total Live-Births,43616
1988,15 - 19 Years,7.3
1988,20 - 24 Years,65
1988,25 - 29 Years,147.5
1988,30 - 34 Years,118.9
1988,35 - 39 Years,44.9
1988,40 - 44 Years,7.4
1988,45 - 49 Years,0
1988,Chinese,1.84
1988,Citizen Live-Births,50822
1988,Crude Birth Rate,19.8
1988,Gross Reproduction Rate,0.95
1988,Indians,1.89
1988,Malays,2.51
1988,Net Reproduction Rate,0.93
1988,Resident Live-Births,51537
1988,Total Fertility Rate (TFR),1.96
1988,Total Live-Births,52957
1989,15 - 19 Years,7.2
1989,20 - 24 Years,59.7
1989,25 - 29 Years,129.7
1989,30 - 34 Years,104.5
1989,35 - 39 Years,42.1
1989,40 - 44 Years,7.6
1989,45 - 49 Years,0.2
1989,Chinese,1.56
1989,Citizen Live-Births,45623
1989,Crude Birth Rate,17.5
1989,Gross Reproduction Rate,0.85
1989,Indians,1.92
1989,Malays,2.62
1989,Net Reproduction Rate,0.83
1989,Resident Live-Births,46361
1989,Total Fertility Rate (TFR),1.75
1989,Total Live-Births,47669
1990,15 - 19 Years,8.3
1990,20 - 24 Years,58.7
1990,25 - 29 Years,136
1990,30 - 34 Years,110.8
1990,35 - 39 Years,44.3
1990,40 - 44 Years,7.4
1990,45 - 49 Years,0.1
1990,Chinese,1.65
1990,Citizen Live-Births,48820
1990,Crude Birth Rate,18.2
1990,Gross Reproduction Rate,0.88
1990,Indians,1.89
1990,Malays,2.69
1990,Net Reproduction Rate,0.87
1990,Resident Live-Births,49787
1990,Total Fertility Rate (TFR),1.83
1990,Total Live-Births,51142
1991,15 - 19 Years,8.4
1991,20 - 24 Years,53.5
1991,25 - 29 Years,129.2
1991,30 - 34 Years,106.8
1991,35 - 39 Years,41.7
1991,40 - 44 Years,6.5
1991,45 - 49 Years,0.3
1991,Chinese,1.54
1991,Citizen Live-Births,46625
1991,Crude Birth Rate,17.1
1991,Gross Reproduction Rate,0.84
1991,Indians,1.84
1991,Malays,2.63
1991,Net Reproduction Rate,0.83
1991,Resident Live-Births,47805
1991,Total Fertility Rate (TFR),1.73
1991,Total Live-Births,49114
1992,15 - 19 Years,7.9
1992,20 - 24 Years,52.1
1992,25 - 29 Years,128.4
1992,30 - 34 Years,107.2
1992,35 - 39 Years,41.7
1992,40 - 44 Years,6.7
1992,45 - 49 Years,0.2
1992,Chinese,1.53
1992,Citizen Live-Births,46477
1992,Crude Birth Rate,16.8
1992,Gross Reproduction Rate,0.83
1992,Indians,1.9
1992,Malays,2.61
1992,Net Reproduction Rate,0.82
1992,Resident Live-Births,47907
1992,Total Fertility Rate (TFR),1.72
1992,Total Live-Births,49402
1993,15 - 19 Years,8.3
1993,20 - 24 Years,49.8
1993,25 - 29 Years,130
1993,30 - 34 Years,108.8
1993,35 - 39 Years,43.6
1993,40 - 44 Years,7.2
1993,45 - 49 Years,0.2
1993,Chinese,1.55
1993,Citizen Live-Births,47002
1993,Crude Birth Rate,16.8
1993,Gross Reproduction Rate,0.84
1993,Indians,1.94
1993,Malays,2.62
1993,Net Reproduction Rate,0.83
1993,Resident Live-Births,48739
1993,Total Fertility Rate (TFR),1.74
1993,Total Live-Births,50225
1994,15 - 19 Years,7.4
1994,20 - 24 Years,46.9
1994,25 - 29 Years,129.2
1994,30 - 34 Years,109.2
1994,35 - 39 Years,42.6
1994,40 - 44 Years,6.7
1994,45 - 49 Years,0.1
1994,Chinese,1.54
1994,Citizen Live-Births,46228
1994,Crude Birth Rate,16.2
1994,Gross Reproduction Rate,0.83
1994,Indians,1.81
1994,Malays,2.54
1994,Net Reproduction Rate,0.82
1994,Resident Live-Births,48075
1994,Total Fertility Rate (TFR),1.71
1994,Total Live-Births,49554
1995,15 - 19 Years,6.6
1995,20 - 24 Years,46.9
1995,25 - 29 Years,125.6
1995,30 - 34 Years,107.4
1995,35 - 39 Years,41.3
1995,40 - 44 Years,6.5
1995,45 - 49 Years,0.2
1995,Chinese,1.51
1995,Citizen Live-Births,44992
1995,Crude Birth Rate,15.6
1995,Gross Reproduction Rate,0.8
1995,Indians,1.71
1995,Malays,2.51
1995,Net Reproduction Rate,0.8
1995,Resident Live-Births,46916
1995,Total Fertility Rate (TFR),1.67
1995,Total Live-Births,48635
1996,15 - 19 Years,6.8
1996,20 - 24 Years,44.8
1996,25 - 29 Years,122.8
1996,30 - 34 Years,108.5
1996,35 - 39 Years,42.6
1996,40 - 44 Years,7
1996,45 - 49 Years,0.2
1996,Chinese,1.5
1996,Citizen Live-Births,44513
1996,Crude Birth Rate,15.2
1996,Gross Reproduction Rate,0.8
1996,Indians,1.74
1996,Malays,2.52
1996,Net Reproduction Rate,0.79
1996,Resident Live-Births,46707
1996,Total Fertility Rate (TFR),1.66
1996,Total Live-Births,48577
1997,15 - 19 Years,6.8
1997,20 - 24 Years,42
1997,25 - 29 Years,116.9
1997,30 - 34 Years,107.3
1997,35 - 39 Years,41.7
1997,40 - 44 Years,7
1997,45 - 49 Years,0.2
1997,Chinese,1.44
1997,Citizen Live-Births,43014
1997,Crude Birth Rate,14.5
1997,Gross Reproduction Rate,0.77
1997,Indians,1.71
1997,Malays,2.47
1997,Net Reproduction Rate,0.77
1997,Resident Live-Births,45356
1997,Total Fertility Rate (TFR),1.61
1997,Total Live-Births,47333
1998,15 - 19 Years,7.5
1998,20 - 24 Years,39.7
1998,25 - 29 Years,105.2
1998,30 - 34 Years,96.1
1998,35 - 39 Years,39.8
1998,40 - 44 Years,6.6
1998,45 - 49 Years,0.2
1998,Chinese,1.27
1998,Citizen Live-Births,39214
1998,Crude Birth Rate,13.1
1998,Gross Reproduction Rate,0.72
1998,Indians,1.68
1998,Malays,2.48
1998,Net Reproduction Rate,0.71
1998,Resident Live-Births,41636
1998,Total Fertility Rate (TFR),1.48
1998,Total Live-Births,43664
1999,15 - 19 Years,8.4
1999,20 - 24 Years,37.3
1999,25 - 29 Years,105.1
1999,30 - 34 Years,97.5
1999,35 - 39 Years,38.6
1999,40 - 44 Years,6.4
1999,45 - 49 Years,0.2
1999,Chinese,1.29
1999,Citizen Live-Births,38727
1999,Crude Birth Rate,12.8
1999,Gross Reproduction Rate,0.7
1999,Indians,1.55
1999,Malays,2.41
1999,Net Reproduction Rate,0.7
1999,Resident Live-Births,41327
1999,Total Fertility Rate (TFR),1.47
1999,Total Live-Births,43336
2000,15 - 19 Years,8.8
2000,20 - 24 Years,42.2
2000,25 - 29 Years,110.1
2000,30 - 34 Years,107.9
2000,35 - 39 Years,43.3
2000,40 - 44 Years,7.6
2000,45 - 49 Years,0.2
2000,Chinese,1.43
2000,Citizen Live-Births,41617
2000,Crude Birth Rate,13.7
2000,Gross Reproduction Rate,0.77
2000,Indians,1.59
2000,Malays,2.54
2000,Net Reproduction Rate,0.76
2000,Resident Live-Births,44765
2000,Total Fertility Rate (TFR),1.6
2000,Total Live-Births,46997
2001,15 - 19 Years,8.4
2001,20 - 24 Years,35.7
2001,25 - 29 Years,96.2
2001,30 - 34 Years,94.9
2001,35 - 39 Years,39.5
2001,40 - 44 Years,6.8
2001,45 - 49 Years,0.2
2001,Chinese,1.21
2001,Citizen Live-Births,36402
2001,Crude Birth Rate,11.8
2001,Gross Reproduction Rate,0.68
2001,Indians,1.51
2001,Malays,2.45
2001,Net Reproduction Rate,0.67
2001,Resident Live-Births,39281
2001,Total Fertility Rate (TFR),1.41
2001,Total Live-Births,41451
2002,15 - 19 Years,8
2002,20 - 24 Years,34.6
2002,25 - 29 Years,91.6
2002,30 - 34 Years,96.2
2002,35 - 39 Years,38.2
2002,40 - 44 Years,5.8
2002,45 - 49 Years,0.2
2002,Chinese,1.19
2002,Citizen Live-Births,35337
2002,Crude Birth Rate,11.4
2002,Gross Reproduction Rate,0.67
2002,Indians,1.51
2002,Malays,2.3
2002,Net Reproduction Rate,0.66
2002,Resident Live-Births,38555
2002,Total Fertility Rate (TFR),1.37
2002,Total Live-Births,40760
2003,15 - 19 Years,6.7
2003,20 - 24 Years,32.4
2003,25 - 29 Years,82.2
2003,30 - 34 Years,90
2003,35 - 39 Years,36.3
2003,40 - 44 Years,6.1
2003,45 - 49 Years,0.2
2003,Chinese,1.09
2003,Citizen Live-Births,32294
2003,Crude Birth Rate,10.5
2003,Gross Reproduction Rate,0.62
2003,Indians,1.39
2003,Malays,2.1
2003,Net Reproduction Rate,0.61
2003,Resident Live-Births,35474
2003,Total Fertility Rate (TFR),1.27
2003,Total Live-Births,37485
2004,15 - 19 Years,6.6
2004,20 - 24 Years,32.2
2004,25 - 29 Years,80.6
2004,30 - 34 Years,89.9
2004,35 - 39 Years,35.6
2004,40 - 44 Years,6.3
2004,45 - 49 Years,0.2
2004,Chinese,1.09
2004,Citizen Live-Births,31694
2004,Crude Birth Rate,10.3
